Model,Domain,Error Type,Probability
gpt5,Questioning Skills,repetitive_questions,0.06
gpt5,Questioning Skills,unclear_questions,0.01
gpt5,Questioning Skills,suggestive_questions,0.01
gpt5,Questioning Skills,logical_jumps,0.0
gpt5,Self Awareness,past_medical_history,0.87
gpt5,Self Awareness,family_history,0.29
gpt5,Self Awareness,social_history,0.39
gpt5,Self Awareness,lifestyle_factors,0.26
gpt5,Self Awareness,broader_review_of_systems,0.45
gpt5,Self Awareness,chief_complaint_details,0.41
gpt5,Self Awareness,allergies,0.28
gpt5,Self Awareness,relevant_symptom_review,0.17
gpt5,Self Awareness,specific_risk_factors,0.2
gpt5,Self Awareness,mental_status,0.37
gpt5,Robustness,uncertain_answer_handling,0.98
gpt5,Robustness,unclear_expression_handling,0.25
gpt5,Ethics,lack_of_empathy,0.35
gpt5,Ethics,privacy_violation,0.0
gpt5,Ethics,bias_or_assumption,0.0
gpt5,Explainability,minor_clarity_failure,0.29
gpt5,Explainability,major_clarity_failure,0.34
gpt5,Explainability,lack_of_context_for_question,0.02
gpt5,Information Summary,minor_omission,0.32
gpt5,Information Summary,major_omission,0.21
gpt5,Information Summary,major_fabrication,0.23
gpt5,Information Summary,minor_fabrication,0.3
gpt5,Diagnostic Reasoning,information_omission,0.52
gpt5,Diagnostic Reasoning,flawed_reasoning_process,0.72
gpt5,Diagnostic Reasoning,diagnostic_questioning_bias,0.61
gpt5,Diagnostic Reasoning,incorrect_assumption,0.31
gpt5,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.02
gpt5,Medication Safety,reference_drug_deviation,0.98
gpt5,Medication Safety,drug_diagnosis_mismatch,0.1
gpt5,Medication Safety,unsafe_drug_use,0.09
gpt5,Medication Safety,missing_important_drugs,0.53
gpt5,Medication Safety,incorrect_or_missing_explanation,0.08
gpt4o,Questioning Skills,unclear_questions,0.11
gpt4o,Questioning Skills,repetitive_questions,0.1
gpt4o,Self Awareness,past_medical_history,0.66
gpt4o,Self Awareness,family_history,0.34
gpt4o,Self Awareness,social_history,0.56
gpt4o,Self Awareness,lifestyle_factors,0.45
gpt4o,Self Awareness,broader_review_of_systems,0.52
gpt4o,Self Awareness,allergies,0.54
gpt4o,Self Awareness,relevant_symptom_review,0.07
gpt4o,Self Awareness,specific_risk_factors,0.22
gpt4o,Self Awareness,chief_complaint_details,0.47
gpt4o,Self Awareness,mental_status,0.36
gpt4o,Self Awareness,Lifestyle_factors,0.0
gpt4o,Robustness,uncertain_answer_handling,0.99
gpt4o,Robustness,unclear_expression_handling,0.24
gpt4o,Ethics,lack_of_empathy,0.39
gpt4o,Explainability,major_clarity_failure,0.36
gpt4o,Explainability,minor_clarity_failure,0.34
gpt4o,Explainability,lack_of_context_for_question,0.0
gpt4o,Information Summary,minor_fabrication,0.23
gpt4o,Information Summary,minor_omission,0.55
gpt4o,Information Summary,major_omission,0.6
gpt4o,Information Summary,major_fabrication,0.25
gpt4o,Diagnostic Reasoning,information_omission,0.9
gpt4o,Diagnostic Reasoning,incorrect_assumption,0.51
gpt4o,Diagnostic Reasoning,flawed_reasoning_process,0.99
gpt4o,Diagnostic Reasoning,diagnostic_questioning_bias,0.79
gpt4o,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.14
gpt4o,Medication Safety,reference_drug_deviation,0.96
gpt4o,Medication Safety,missing_important_drugs,0.66
gpt4o,Medication Safety,unsafe_drug_use,0.26
gpt4o,Medication Safety,drug_diagnosis_mismatch,0.24
gpt4o,Medication Safety,incorrect_or_missing_explanation,0.21
claude4,Questioning Skills,unclear_questions,0.14
claude4,Questioning Skills,repetitive_questions,0.16
claude4,Questioning Skills,suggestive_questions,0.01
claude4,Questioning Skills,logical_jumps,0.0
claude4,Questioning Skills,confrontational_questions,0.0
claude4,Self Awareness,allergies,0.44
claude4,Self Awareness,lifestyle_factors,0.42
claude4,Self Awareness,broader_review_of_systems,0.57
claude4,Self Awareness,specific_risk_factors,0.24
claude4,Self Awareness,past_medical_history,0.63
claude4,Self Awareness,relevant_symptom_review,0.08
claude4,Self Awareness,family_history,0.21
claude4,Self Awareness,social_history,0.5
claude4,Self Awareness,mental_status,0.39
claude4,Self Awareness,chief_complaint_details,0.2
claude4,Robustness,uncertain_answer_handling,0.93
claude4,Robustness,unclear_expression_handling,0.23
claude4,Ethics,lack_of_empathy,0.05
claude4,Ethics,bias_or_assumption,0.01
claude4,Ethics,privacy_violation,0.0
claude4,Explainability,major_clarity_failure,0.3
claude4,Explainability,minor_clarity_failure,0.29
claude4,Information Summary,minor_omission,0.42
claude4,Information Summary,major_fabrication,0.31
claude4,Information Summary,minor_fabrication,0.36
claude4,Information Summary,major_omission,0.31
claude4,Diagnostic Reasoning,information_omission,0.83
claude4,Diagnostic Reasoning,flawed_reasoning_process,0.98
claude4,Diagnostic Reasoning,diagnostic_questioning_bias,0.87
claude4,Diagnostic Reasoning,incorrect_assumption,0.61
claude4,Diagnostic Reasoning,diagnosis_reasoning_mismatch,0.17
claude4,Medication Safety,reference_drug_deviation,0.98
claude4,Medication Safety,drug_diagnosis_mismatch,0.21
claude4,Medication Safety,unsafe_drug_use,0.24
claude4,Medication Safety,missing_important_drugs,0.58
claude4,Medication Safety,incorrect_or_missing_explanation,0.19
medgemma,Questioning Skills,suggestive_questions,0.0
medgemma,Questioning Skills,repetitive_questions,0.24
medgemma,Questioning Skills,confrontational_questions,0.0
medgemma,Questioning Skills,unclear_questions,0.05
medgemma,Self Awareness,allergies,0.76
medgemma,Self Awareness,chief_complaint_details,0.29
